0: 46 ms ,1: 51.0, 2: 0.0, 3: 0.0, 4: 4518.974358974359, 5: 4125.641025641026, 6: 4392.820512820514, 7: 4513.846153846154, 8: 4445.641025641026, 9: 4655.384615384616, 10: 4344.102564102564, 11: 4383.076923076924, 12: 4737.435897435898, 13: 4052.307692307693, 14: 3953.8461538461543, 15: 4232.307692307693, 16: 4592.820512820514, 17: 4385.641025641026, 18: 1612.0, 19: 1712.0, 20: 0.046, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -8.556947251509935E71, 27: 2.596261850246E-310, 28: 1.714763881E-314, 29: -8.556947005148856E71, 30: 1.5E-323, 31: -8.556947251509935E71, 32: 4517.948717948719, 33: 4122.051282051282, 34: 4444.102564102564, 35: 4345.128205128206, 36: 4380.512820512821, 
0: 46 ms ,1: 52.0, 2: 0.0, 3: 0.0, 4: 4518.974358974359, 5: 4129.2307692307695, 6: 4394.871794871796, 7: 4513.333333333334, 8: 4440.512820512821, 9: 4657.948717948719, 10: 4344.102564102564, 11: 4381.025641025642, 12: 4738.461538461539, 13: 4054.358974358975, 14: 3956.410256410257, 15: 4235.384615384616, 16: 4591.282051282052, 17: 4384.615384615385, 18: 1613.0, 19: 1712.0, 20: 0.062, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -8.556947251509935E71, 27: 6.7903865311E-313, 28: 1.230340705426846E-300, 29: -8.556947251509935E71, 30: 6.2914E-320, 31: 4518.974358974359, 32: 4125.641025641026, 33: 4445.641025641026, 34: 4344.102564102564, 35: 4383.076923076924, 36: 4052.307692307693, 
0: 46 ms ,1: 53.0, 2: 0.0, 3: 0.0, 4: 4518.974358974359, 5: 4126.666666666667, 6: 4392.307692307693, 7: 4511.794871794872, 8: 4442.564102564103, 9: 4657.948717948719, 10: 4345.128205128206, 11: 4377.435897435898, 12: 4738.461538461539, 13: 4051.7948717948725, 14: 3955.8974358974365, 15: 4235.384615384616, 16: 4592.307692307693, 17: 4384.615384615385, 18: 1612.0, 19: 1712.0, 20: 0.062, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 3.5443759582637405E-282, 27: -8.55694384743836E71, 28: -1.5378967362053763E294, 29: 3.548620990399107E-282, 30: 3.0641619222803E-311, 31: 4518.974358974359, 32: 4129.2307692307695, 33: 4440.512820512821, 34: 4344.102564102564, 35: 4381.025641025642, 36: 4054.358974358975, 
0: 46 ms ,1: 54.0, 2: 0.0, 3: 0.0, 4: 4517.948717948719, 5: 4122.051282051282, 6: 4395.8974358974365, 7: 4512.820512820514, 8: 4444.102564102564, 9: 4655.8974358974365, 10: 4345.128205128206, 11: 4380.512820512821, 12: 4738.974358974359, 13: 4048.717948717949, 14: 3956.9230769230776, 15: 4236.410256410257, 16: 4589.743589743591, 17: 4385.128205128206, 18: 1612.0, 19: 1713.0, 20: 0.078, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 6.3659873887E-314, 27: -8.556947251509935E71, 28: 2.614114924294757E135, 29: 5.432765279023E-312, 30: -8.556947251509935E71, 31: 4518.974358974359, 32: 4126.666666666667, 33: 4442.564102564103, 34: 4345.128205128206, 35: 4377.435897435898, 36: 4051.7948717948725, 
0: 78 ms ,1: 55.0, 2: 0.0, 3: 0.0, 4: 4516.923076923077, 5: 4128.205128205129, 6: 4393.333333333334, 7: 4513.333333333334, 8: 4441.538461538462, 9: 4655.8974358974365, 10: 4344.102564102564, 11: 4381.538461538462, 12: 4738.461538461539, 13: 4049.23076923077, 14: 3956.9230769230776, 15: 4233.333333333334, 16: 4591.794871794872, 17: 4384.615384615385, 18: 1613.0, 19: 1713.0, 20: 0.078, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -8.556947251509935E71, 27: 4.57417412700474E-310, 28: 3.483216487185574E229, 29: 2.888116412676865E71, 30: 3.321366778868721E-182, 31: -7.579872153417119E-293, 32: 1.924567811367261E-245, 33: 1.1945313146665318E103, 34: -2.1915355234809144E-166, 35: 1.1945313146724864E103, 36: 3.321366778868019E-182, 
0: 78 ms ,1: 56.0, 2: 0.0, 3: 0.0, 4: 4520.512820512821, 5: 4121.538461538462, 6: 4395.384615384616, 7: 4515.8974358974365, 8: 4442.051282051282, 9: 4657.435897435898, 10: 4345.128205128206, 11: 4380.000000000001, 12: 4738.461538461539, 13: 4052.307692307693, 14: 3955.8974358974365, 15: 4237.435897435898, 16: 4590.769230769231, 17: 4382.564102564103, 18: 1613.0, 19: 1712.0, 20: 0.093, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -8.556947251509935E71, 27: 1.901308228705E-311, 28: 3.483215202353003E229, 29: 6.980156555685907E39, 30: 7.99738435573355E-214, 31: -7.448800177497854E118, 32: 2.3716736655606E-87, 33: 1.4381917750507822E261, 34: 1.1945313146725385E103, 35: -2.5981524525923615E-8, 36: 6.980156555663846E39, 
0: 78 ms ,1: 57.0, 2: 0.0, 3: 0.0, 4: 4518.461538461539, 5: 4124.615384615385, 6: 4387.6923076923085, 7: 4513.846153846154, 8: 4444.102564102564, 9: 4655.8974358974365, 10: 4340.512820512821, 11: 4378.461538461539, 12: 4737.948717948719, 13: 4053.333333333334, 14: 3954.358974358975, 15: 4234.358974358975, 16: 4594.871794871796, 17: 4385.641025641026, 18: 1612.0, 19: 1712.0, 20: 0.093, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 3.5663106029356466E-282, 27: -8.55694384743836E71, 28: 3.483215202353003E229, 29: 5.719524470281402E-119, 30: -3.7206633286236344E-103, 31: -3.1268749104793407E-261, 32: -1.069435145367321E24, 33: 4.072277494984937E-24, 34: 5.936347571763208E292, 35: -2.1915355234901287E-166, 36: 8.433456206940903E197, 
0: 78 ms ,1: 58.0, 2: 0.0, 3: 0.0, 4: 4520.512820512821, 5: 4115.8974358974365, 6: 4396.410256410257, 7: 4516.410256410257, 8: 4444.102564102564, 9: 4657.948717948719, 10: 4342.564102564103, 11: 4380.000000000001, 12: 4737.435897435898, 13: 4049.7435897435903, 14: 3956.9230769230776, 15: 4241.025641025642, 16: 4588.205128205129, 17: 4384.615384615385, 18: 1612.0, 19: 1713.0, 20: 0.109, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 6.3659878156E-314, 27: -8.556947251509935E71, 28: -3.0635595517878234E150, 29: 6.980156555686383E39, 30: 1.3786384522976506E-150, 31: -2.5981524525594357E-8, 32: -2.59815245258211E-8, 33: 4.628706491538598E-277, 34: 1.9245678114084592E-245, 35: 4.62870649157096E-277, 36: 1.6863260834639406E8, 
0: 109 ms ,1: 59.0, 2: 0.0, 3: 0.0, 4: 4519.48717948718, 5: 4126.153846153847, 6: 4389.2307692307695, 7: 4512.820512820514, 8: 4443.076923076924, 9: 4654.871794871796, 10: 4344.615384615385, 11: 4378.974358974359, 12: 4737.948717948719, 13: 4049.7435897435903, 14: 3953.8461538461543, 15: 4230.256410256411, 16: 4590.256410256411, 17: 4384.615384615385, 18: 1613.0, 19: 1711.0, 20: 0.109, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -8.556947251509935E71, 27: 6.4271008516756E-310, 28: 3.483216487185574E229, 29: 2.888116412676865E71, 30: -6.310748519395128E-40, 31: 3.32136677886837E-182, 32: -7.579872153417119E-293, 33: 2.041206750708822E166, 34: 1.9245678113679017E-245, 35: 1.1945313146665318E103, 36: 7.99738435584785E-214, 
0: 109 ms ,1: 60.0, 2: 0.0, 3: 0.0, 4: 4525.128205128206, 5: 4113.333333333334, 6: 4395.384615384616, 7: 4515.384615384616, 8: 4443.076923076924, 9: 4654.358974358975, 10: 4348.205128205129, 11: 4382.564102564103, 12: 4740.000000000001, 13: 4052.820512820513, 14: 3954.358974358975, 15: 4233.846153846154, 16: 4585.641025641026, 17: 4381.538461538462, 18: 1611.0, 19: 1713.0, 20: 0.124, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: -8.556947251509935E71, 27: 2.8519623430573E-311, 28: 3.483215202353003E229, 29: 6.980156555685907E39, 30: -1.8107677952836994E87, 31: 7.99738435573355E-214, 32: -7.448800177497854E118, 33: 1.194531314652795E103, 34: 2.3716736655606E-87, 35: 1.4381917750507822E261, 36: 1.4381917750505528E261, 
0: 109 ms ,1: 61.0, 2: 0.0, 3: 0.0, 4: 4517.948717948719, 5: 4127.6923076923085, 6: 4389.2307692307695, 7: 4515.8974358974365, 8: 4440.000000000001, 9: 4652.820512820514, 10: 4344.102564102564, 11: 4378.461538461539, 12: 4739.48717948718, 13: 4053.333333333334, 14: 3955.8974358974365, 15: 4233.333333333334, 16: 4593.846153846154, 17: 4383.076923076924, 18: 1613.0, 19: 1712.0, 20: 0.124, 21: 0.0312768779695034, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 3.557011364356802E-282, 27: -8.55694384743836E71, 28: 3.483215202353003E229, 29: 5.719524470281402E-119, 30: -3.0635595517883958E150, 31: -3.7206633286236344E-103, 32: -3.1268749104793407E-261, 33: 4.072277494931889E-24, 34: -1.069435145367321E24, 35: 4.072277494984937E-24, 36: 7.997384355847416E-214, 
